unix,open,high,low,close,Volume 
1511913600,9868.82,11395,9289,9824.68,307124764.7
1511827200,9708.07,9968,9582.25,9868.82,110496755.9
1511740800,9271.06,9721.7,9267,9708.07,126458117.7
1511654400,8717.99,9366.6,8538.2,9271.06,108525815.5
1511568000,8199.19,8737,8114.78,8717.99,97628924.79
1511481600,7989,8340,7876,8199.19,75751868.75
1511395200,8214.69,8279.76,7980,7989,63644740.39
1511308800,8095.23,8310.89,8045.76,8214.69,66215711.71
1511222400,8226.17,8354.46,7770,8095.23,110809826.4
1511136000,8016.58,8269.99,7900,8226.17,66366007.81
1511049600,7771.03,8087.35,7675,8016.58,65332064.65
1510963200,7674.99,7858,7431.54,7771.03,56264967.21
1510876800,7846.96,7997,7528.5,7674.99,138124189.4
1510790400,7294,7976.79,7120.85,7846.96,145738327.5
1510704000,6609,7350,6609,7294,119171192.4
1510617600,6525.17,6750,6466.88,6609,79508390.54
1510531200,5870.37,6775.75,5846,6525.17,173725919.5
1510444800,6355.13,6488.88,5555.55,5870.37,224990004.1
1510358400,6588.18,6820,6218,6355.13,96465935.17
1510272000,7148,7343.18,6429.44,6588.18,180472185.4
1510185600,7450.32,7490,7061.2,7148,106479695.2
1510099200,7130.28,7888,7080.01,7450.32,182900719.5
1510012800,6967.68,7244.69,6945,7130.28,82573875.36
1509926400,7372.72,7421.39,6922.07,6967.68,138309426.6
1509840000,7388.83,7590,7275.16,7372.72,68578104.7
1509753600,7146.82,7569.9,6994,7388.83,66574400.23
1509667200,7030,7500,6925.22,7146.82,115885350.4
1509580800,6741.59,7354.1,6700,7030,184478482.7
1509494400,6434.21,6756.36,6340.01,6741.59,84730388.78
1509408000,6119.99,6449.78,6072.81,6434.21,84132031.05
1509321600,6137.37,6229.77,6024.03,6119.99,58628072.74
1509235200,5730.69,6316.85,5683,6137.37,96245243.8
1509148800,5771.89,5875.66,5646.18,5730.69,33910959.44
1509062400,5890,5994.06,5674.06,5771.89,68864252.31
1508976000,5735.88,5988,5683,5890,68819732.17
1508889600,5523.4,5748,5366,5735.88,68165895.28
1508803200,5871.17,5871.17,5453.01,5523.4,97431687.22
1508716800,5969,6045.34,5617.75,5871.17,89096118.44
1508630400,6013.46,6071.07,5700,5969,71783836.81
1508544000,5977.29,6180,5871,6013.46,92596831.55
1508457600,5698.69,6074,5589.8,5977.29,88681234.35
1508371200,5582.05,5735.14,5512.06,5698.69,55881257.79
1508284800,5597.31,5617.75,5101.36,5582.05,101403786
1508198400,5745.72,5776.31,5506.78,5597.31,50937177.61
1508112000,5679.7,5807.11,5548,5745.72,51432597.47
1508025600,5801.29,5830,5415,5679.7,64387164.5
1507939200,5653.6,5817.34,5558.26,5801.29,47682043.42
1507852800,5445,5846.43,5380,5653.6,155680854
1507766400,4822.01,5445,4793.66,5445,102397248.4
1507680000,4749.29,4869.78,4700,4822.01,47163032.6
1507593600,4764.7,4909.97,4700,4749.29,56048025.67
1507507200,4597.98,4865,4541,4764.7,60364606.58
1507420800,4423.3,4612,4404.5,4597.98,45437977.1
1507334400,4362.95,4463,4312.82,4423.3,20225980.37
1507248000,4301.09,4425,4278.4,4362.95,36536990.19
1507161600,4219.53,4358.97,4137.96,4301.09,35843264.32
1507075200,4315.83,4343,4170.07,4219.53,35967135.01
1506988800,4391.48,4425,4218,4315.83,53430721.04
1506902400,4377.22,4453,4352,4391.48,36284325.23
1506816000,4326.09,4377.22,4216,4377.22,30767188.12
1506729600,4164.82,4349,4154.28,4326.09,32022657.82
1506643200,4184.84,4227.62,4022.02,4164.82,50174093.2
1506556800,4199.29,4270.01,4123.5,4184.84,40228821.54
1506470400,3888.03,4226.73,3870,4199.29,61138922.31
1506384000,3918,3970,3850.61,3888.03,39095846.8
1506297600,3664.22,3968.59,3658.39,3918,57436091.87
1506211200,3779.17,3783.25,3615,3664.22,24002945.44
1506124800,3612.18,3810.25,3552,3779.17,37543313.88
1506038400,3617.05,3761.84,3514,3612.18,54095681.79
1505952000,3874.46,3914,3573,3617.05,66991792.86
1505865600,3888.8,4050,3820.56,3874.46,45755993.66
1505779200,4101.6,4119.7,3848.35,3888.8,60296939.36
1505692800,3662.99,4122.7,3659.42,4101.6,67884703.07
1505606400,3678.93,3772.52,3463,3662.99,42610629.87
1505520000,3700.01,3872.9,3500,3678.93,84682175.88
1505433600,3227.79,3820,2977,3700.01,201603301.3
1505347200,3865.34,3921.74,3210,3227.79,145677912.4
1505260800,4172.56,4179.14,3720.01,3865.34,115047415.4
1505174400,4207.31,4377.65,4080,4172.56,56085500.46
1505088000,4226.22,4353.49,4092.4,4207.31,46993960.17
1505001600,4308.72,4322.44,4010,4226.22,61000822.58
1504915200,4312,4379.78,4164,4308.72,42672278.95
1504828800,4615,4679.97,4125.99,4312,103400550.3
1504742400,4605.8,4674.34,4475,4615,42404174.64
1504656000,4396.52,4649.23,4356.42,4605.8,75215090.16
1504569600,4277,4474.88,4001.93,4396.52,88387794.12
1504483200,4606.26,4613.97,4058.5,4277,107556542.1
1504396800,4599.9,4700,4385,4606.26,51073979.31
1504310400,4921.7,4979.9,4488.5,4599.9,79450494.42
1504224000,4734.26,4935,4671.09,4921.7,73806190.52
1504137600,4573.2,4765.21,4566.66,4734.26,41680053.91
1504051200,4578.82,4642.22,4479,4573.2,39221767.23
1503964800,4379.99,4649.78,4336.26,4578.82,53470073.42
1503878400,4337.68,4399.72,4169.01,4379.99,37056561.52
1503792000,4333.38,4393.3,4290.32,4337.68,17115061.37
1503705600,4355.98,4369.78,4232.43,4333.38,28226249.72
1503619200,4300.34,4449.98,4270,4355.98,42239588.77
1503532800,4108.12,4350,4082.57,4300.34,45158907.08
1503446400,4085,4248.97,4051.94,4108.12,62086390.53
1503360000,3987.52,4139.31,3600,4085,91500637.87
1503273600,4058.68,4080,3949.78,3987.52,39194496.37
1503187200,4099.55,4125.95,4000,4058.68,25281427.99
1503100800,4100,4188,3900,4099.55,60597363.73
1503014400,4276.5,4368,3964.96,4100,72432096
1502928000,4378.84,4480,4167.21,4276.5,63198384.95
1502841600,4155.67,4379.78,3926.06,4378.84,54192791.68
1502755200,4306.23,4400,3800,4155.67,104581194.3
1502668800,4053.87,4329.43,3964.96,4306.23,59827087.21
1502582400,3855.1,4190,3841.71,4053.87,63638815.67
1502496000,3645.06,3934,3586.95,3855.1,46761411.29
1502409600,3413.03,3705,3390.67,3645.06,41873464
1502323200,3342.99,3448,3311.17,3413.03,30646612.36
1502236800,3412.41,3423.1,3178.72,3342.99,47303195.92
1502150400,3387.55,3490,3300,3412.41,54033180.58
1502064000,3222.75,3430,3186,3387.55,40212285.97
1501977600,3263.62,3296.51,3146.1,3222.75,19412655.97
1501891200,2855,3339.66,2848.32,3263.62,53855576.01
1501804800,2793.37,2877.52,2765.91,2855,21650042.13
1501718400,2703.51,2807.44,2698.83,2793.37,21938228.66
1501632000,2731,2760,2650,2703.51,25679084.59
1501545600,2855.81,2929.17,2615,2731,34305116.96
1501459200,2742.37,2889.99,2680.01,2855.81,30771946.97
1501372800,2680.56,2774.45,2569.69,2742.37,25842024.03
1501286400,2777.01,2785.65,2631.78,2680.56,29153822.62
